customer_id,internet_service,phone,multiple,online_security,online_backup,device_protection,tech_support
A00088,Fiber Optic,1,1,1,0,0,0
A04204,DSL,1,1,1,1,1,1
A04378,None,1,1,0,0,0,1
A04830,DSL,1,1,1,0,1,0
A05946,Fiber Optic,0,0,0,0,0,0
A06667,DSL,1,1,0,1,1,1
A08755,Fiber Optic,1,0,0,1,1,1
A100934,DSL,1,0,1,0,0,0
A103291,DSL,0,1,0,0,0,1
A105398,DSL,1,0,1,0,1,1
A106835,Fiber Optic,1,1,0,0,1,0
A118391,DSL,1,0,0,0,0,0
A121664,Fiber Optic,1,1,1,0,0,1
A124923,None,1,0,0,1,0,1
A125688,DSL,1,1,1,1,1,1
A127324,DSL,0,0,0,0,1,1
A127838,DSL,1,0,1,0,1,1
A128723,None,1,1,1,1,0,0
A131826,None,1,1,0,0,0,1
A132981,DSL,1,1,0,0,1,0
A138113,DSL,1,1,0,0,0,1
A141988,DSL,0,1,0,0,1,1
A143104,None,1,0,0,1,0,0
A143106,None,1,1,1,0,1,1
A145480,Fiber Optic,1,1,1,0,1,0
A146981,DSL,1,1,0,1,0,1
A151684,Fiber Optic,1,1,1,1,1,0
A155369,Fiber Optic,1,1,0,0,0,0
A156174,DSL,1,1,0,0,1,0
A156547,DSL,1,0,1,1,0,1
A159743,DSL,1,1,0,0,0,1
A163731,Fiber Optic,1,0,0,1,0,0
A165071,Fiber Optic,1,1,1,1,1,0
A166320,Fiber Optic,1,1,1,0,1,1
A166877,Fiber Optic,1,0,0,0,1,1
A169002,DSL,1,1,0,0,1,0
A170090,DSL,1,0,0,1,1,1
A175625,None,1,1,0,1,0,0
A176270,DSL,1,1,1,0,1,0
A17652,DSL,0,0,0,0,1,0
A177150,Fiber Optic,0,1,0,1,0,1
A178778,DSL,1,0,1,0,0,1
A184694,DSL,1,0,1,1,0,0
A199560,DSL,0,1,1,1,1,0
A202517,DSL,1,1,0,0,0,0
A206123,DSL,1,1,0,0,0,0
A212257,DSL,1,1,0,0,0,0
A213804,DSL,1,0,0,1,0,0
A219935,Fiber Optic,1,0,1,1,1,0
A223123,Fiber Optic,1,1,0,1,0,1
A224018,Fiber Optic,0,0,1,1,1,0
A224472,None,1,0,0,1,1,0
A22477,Fiber Optic,1,0,0,1,1,1
A225434,Fiber Optic,1,1,1,0,0,1
A226212,DSL,1,0,1,1,0,0
A229546,Fiber Optic,1,0,0,0,0,0
A230205,Fiber Optic,1,0,0,1,1,0
A233218,Fiber Optic,1,0,0,0,1,0
A235822,Fiber Optic,1,0,1,0,0,0
A236354,DSL,1,0,0,0,1,1
A241767,Fiber Optic,1,0,0,0,0,0
A254137,None,1,1,0,0,0,0
A25662,None,1,1,0,1,1,0
A258709,Fiber Optic,1,0,0,1,1,1
A259316,DSL,1,0,1,1,0,0
A260461,DSL,0,1,0,0,0,1
A263401,Fiber Optic,1,0,1,0,0,0
A267074,Fiber Optic,0,0,1,1,1,1
A267630,None,1,0,0,1,1,1
A268547,None,1,1,0,0,0,1
A270578,Fiber Optic,1,1,0,0,1,1
A27178,DSL,0,0,0,0,1,0
A273212,Fiber Optic,1,0,0,0,1,0
A273885,DSL,1,0,0,1,1,1
A282518,Fiber Optic,1,0,0,1,0,0
A289117,Fiber Optic,1,0,0,1,0,0
A290262,None,1,0,1,1,0,1
A292290,None,0,0,0,1,0,1
A293164,DSL,1,1,1,1,0,0
A29486,DSL,0,1,1,0,1,0
A295468,None,1,1,1,1,1,1
A295954,Fiber Optic,1,0,1,1,1,0
A297665,None,1,0,0,1,0,1
A299711,Fiber Optic,1,0,1,1,1,1
A300601,DSL,1,1,0,0,0,0
A301811,Fiber Optic,1,1,1,0,0,0
A304266,None,1,1,0,1,0,1
A311758,Fiber Optic,1,0,0,0,0,1
A312093,DSL,1,0,0,1,0,0
A31278,None,1,0,1,0,1,0
A313674,None,1,0,1,0,0,0
A314084,DSL,1,0,0,0,0,1
A316138,Fiber Optic,1,1,1,0,0,0
A318319,None,1,1,0,1,0,0
A325803,Fiber Optic,1,0,0,0,0,0
A327397,Fiber Optic,1,0,0,0,0,0
A32952,Fiber Optic,1,0,1,0,1,0
A332968,DSL,1,1,0,0,1,1
A34326,Fiber Optic,1,1,0,1,0,1
A34728,Fiber Optic,1,0,1,1,0,0
A349493,None,1,1,0,0,0,0
A35543,Fiber Optic,1,0,0,1,1,0
A357267,None,1,1,0,0,1,1
A357886,Fiber Optic,1,0,0,0,1,1
A362559,DSL,1,0,1,1,1,0
A36623,None,1,0,0,0,1,0
A366329,Fiber Optic,1,1,1,0,1,1
A367660,Fiber Optic,1,0,0,0,1,1
A374706,None,1,1,0,1,1,1
A378183,Fiber Optic,1,0,0,0,0,1
A378200,DSL,1,0,1,1,1,1
A379980,Fiber Optic,1,1,1,0,0,0
A384618,DSL,1,0,1,1,1,0
A385989,None,1,1,1,1,0,1
A393225,Fiber Optic,0,0,1,0,1,1
A393945,None,1,0,0,0,0,0
A403906,None,1,0,1,0,0,0
A406844,DSL,1,0,0,0,1,0
A40824,DSL,1,1,1,0,1,1
A410868,Fiber Optic,0,1,0,1,1,0
A41212,Fiber Optic,1,0,0,1,1,0
A415870,DSL,1,0,0,1,0,0
A417108,Fiber Optic,1,1,1,0,1,1
A420422,Fiber Optic,1,0,1,1,1,0
A425221,Fiber Optic,0,1,1,0,1,0
A430952,None,1,1,1,0,0,0
A432414,DSL,1,0,1,1,1,0
A439589,DSL,1,1,0,0,0,0
A442435,DSL,1,0,1,1,1,1
A443954,None,0,1,0,1,1,0
A448006,DSL,1,0,1,0,1,0
A448406,Fiber Optic,1,1,0,1,0,1
A45605,DSL,1,0,0,0,1,1
A457009,Fiber Optic,1,0,1,1,0,1
A458941,None,1,1,0,0,1,0
A464657,Fiber Optic,1,0,0,0,0,0
A466060,DSL,1,1,0,1,0,0
A466183,None,1,0,1,0,0,0
A470957,DSL,1,0,0,0,0,0
A471140,DSL,1,0,1,1,1,1
A471876,Fiber Optic,1,0,0,0,0,0
A472924,Fiber Optic,1,1,1,0,0,0
A47399,None,1,0,0,1,0,0
A477404,Fiber Optic,0,0,0,0,0,1
A477627,Fiber Optic,1,0,0,0,1,0
A48668,DSL,1,1,1,0,1,1
A486964,Fiber Optic,1,0,1,1,1,1
A488962,Fiber Optic,1,0,0,0,0,1
A490867,Fiber Optic,1,0,1,0,0,1
A49320,None,1,0,0,0,0,0
A493340,DSL,1,1,1,0,0,0
A498648,DSL,1,0,1,0,1,1
A500103,None,0,0,1,0,1,0
A501629,Fiber Optic,0,0,0,0,1,1
A50168,None,1,1,0,0,0,0
A504244,DSL,1,1,1,0,1,1
A505732,None,1,0,0,1,1,0
A505760,None,1,0,1,0,0,0
A506823,DSL,1,1,0,1,0,0
A508226,DSL,1,1,0,1,0,0
A509485,DSL,1,0,1,0,0,0
A511583,None,1,0,1,0,1,0
A511604,Fiber Optic,1,0,1,0,0,0
A513224,Fiber Optic,1,1,1,1,1,1
A516439,Fiber Optic,1,0,0,0,0,0
A516936,None,1,0,1,0,0,1
A51913,None,1,1,1,0,0,0
A519289,None,0,0,0,0,1,1
A521063,Fiber Optic,1,0,0,1,0,0
A525577,DSL,1,0,0,0,1,1
A525629,Fiber Optic,1,1,0,0,0,0
A527793,Fiber Optic,1,1,0,1,1,0
A531249,DSL,0,0,1,0,1,1
A53575,None,1,1,0,1,0,0
A536604,Fiber Optic,1,1,0,0,0,0
A538839,Fiber Optic,1,0,1,1,0,0
A539301,DSL,0,0,0,1,0,1
A540097,DSL,1,0,1,1,1,1
A541966,None,1,1,1,1,0,1
A544408,None,1,0,0,1,1,0
A544585,None,1,0,1,0,1,1
A54539,Fiber Optic,1,1,1,1,1,0
A546615,None,1,0,1,0,1,0
A547802,None,1,1,1,0,1,0
A549038,DSL,1,0,1,1,0,1
A551693,DSL,1,1,0,1,0,0
A552277,DSL,1,1,0,1,0,1
A553226,Fiber Optic,0,1,1,1,1,0
A553843,Fiber Optic,1,1,1,1,0,0
A560329,Fiber Optic,1,0,1,0,0,1
A561114,DSL,1,0,0,0,1,0
